Date,Age,Tm,Opp,W_or_L,MP,PTS
2016-04-20,31-112,CLE,DET,W (+17),39:44,27
2016-04-22,31-114,CLE,DET,W (+10),42:55,20
2016-04-24,31-116,CLE,DET,W (+2),41:27,22
2016-05-02,31-124,CLE,ATL,W (+11),40:34,25
2016-05-04,31-126,CLE,ATL,W (+25),28:08,27
2016-05-06,31-128,CLE,ATL,W (+13),38:58,24
2016-05-08,31-130,CLE,ATL,W (+1),37:52,21
2016-05-17,31-139,CLE,TOR,W (+31),28:18,24
2016-05-19,31-141,CLE,TOR,W (+19),33:45,23
2016-05-21,31-143,CLE,TOR,L (-15),38:50,24
2016-05-23,31-145,CLE,TOR,L (-6),45:48,29
2016-05-25,31-147,CLE,TOR,W (+38),31:30,23
2016-05-27,31-149,CLE,TOR,W (+26),41:15,33
2016-06-02,31-155,CLE,GSW,L (-15),40:53,23
2016-06-05,31-158,CLE,GSW,L (-33),33:38,19
2016-06-08,31-161,CLE,GSW,W (+30),40:04,32
2016-06-10,31-163,CLE,GSW,L (-11),45:34,25
2016-06-13,31-166,CLE,GSW,W (+15),42:38,41
2016-06-16,31-169,CLE,GSW,W (+14),42:35,41
2016-06-19,31-172,CLE,GSW,W (+4),46:49,27
2017-04-15,32-106,CLE,IND,W (+1),42:44,32
2017-04-17,32-108,CLE,IND,W (+6),42:16,25
2017-04-20,32-111,CLE,IND,W (+5),45:13,41
2017-04-23,32-114,CLE,IND,W (+4),44:44,33
2017-05-01,32-122,CLE,TOR,W (+11),41:02,35
2017-05-03,32-124,CLE,TOR,W (+22),36:36,39
2017-05-05,32-126,CLE,TOR,W (+21),40:38,35
2017-05-07,32-128,CLE,TOR,W (+7),46:11,35
2017-05-17,32-138,CLE,BOS,W (+13),41:58,38
2017-05-19,32-140,CLE,BOS,W (+44),32:48,30
2017-05-21,32-142,CLE,BOS,L (-3),45:03,11
2017-05-23,32-144,CLE,BOS,W (+13),38:16,34
2017-05-25,32-146,CLE,BOS,W (+33),34:44,35
2017-06-01,32-153,CLE,GSW,L (-22),40:02,28
2017-06-04,32-156,CLE,GSW,L (-19),39:22,29
2017-06-07,32-159,CLE,GSW,L (-5),45:37,39
2017-06-09,32-161,CLE,GSW,W (+21),40:46,31
2017-06-12,32-164,CLE,GSW,L (-9),46:13,41
2018-04-15,33-106,CLE,IND,L (-18),43:56,24
2018-04-18,33-109,CLE,IND,W (+3),39:53,46
2018-04-20,33-111,CLE,IND,L (-2),41:41,28
2018-04-22,33-113,CLE,IND,W (+4),46:09,32
2018-04-25,33-116,CLE,IND,W (+3),41:49,44
2018-04-27,33-118,CLE,IND,L (-34),31:11,22
2018-04-29,33-120,CLE,IND,W (+4),43:25,45
2018-05-01,33-122,CLE,TOR,W (+1),46:56,26
2018-05-03,33-124,CLE,TOR,W (+18),40:30,43
2018-05-05,33-126,CLE,TOR,W (+2),41:16,38
2018-05-07,33-128,CLE,TOR,W (+35),38:24,29
2018-05-13,33-134,CLE,BOS,L (-25),36:07,15
2018-05-15,33-136,CLE,BOS,L (-13),38:46,42
2018-05-19,33-140,CLE,BOS,W (+30),37:30,27
2018-05-21,33-142,CLE,BOS,W (+9),41:53,44
2018-05-23,33-144,CLE,BOS,L (-13),39:16,26
2018-05-25,33-146,CLE,BOS,W (+10),46:06,46
2018-05-27,33-148,CLE,BOS,W (+8),48:00,35
2018-05-31,33-152,CLE,GSW,L (-10),47:32,51
2018-06-03,33-155,CLE,GSW,L (-19),43:51,29
2018-06-06,33-158,CLE,GSW,L (-8),46:52,33
2018-06-08,33-160,CLE,GSW,L (-23),40:34,23
2020-08-18,35-232,LAL,POR,L (-7),41:03,23
2020-08-20,35-234,LAL,POR,W (+23),26:41,10
2020-08-22,35-236,LAL,POR,W (+8),34:29,38
2020-08-24,35-238,LAL,POR,W (+20),28:18,30
2020-08-29,35-243,LAL,POR,W (+9),33:52,36
2020-09-04,35-249,LAL,HOU,L (-15),36:34,20
2020-09-06,35-251,LAL,HOU,W (+8),39:16,28
2020-09-08,35-253,LAL,HOU,W (+10),37:31,36
2020-09-10,35-255,LAL,HOU,W (+10),33:45,16
2020-09-12,35-257,LAL,HOU,W (+23),30:48,29
2020-09-18,35-263,LAL,DEN,W (+12),30:54,15
2020-09-20,35-265,LAL,DEN,W (+2),36:25,26
2020-09-22,35-267,LAL,DEN,L (-8),37:15,30
2020-09-24,35-269,LAL,DEN,W (+6),38:21,26
2020-09-26,35-271,LAL,DEN,W (+10),40:01,38
2020-09-30,35-275,LAL,MIA,W (+18),36:24,25
2020-10-02,35-277,LAL,MIA,W (+10),39:09,33
2020-10-04,35-279,LAL,MIA,L (-11),39:13,25
2020-10-06,35-281,LAL,MIA,W (+6),38:38,28
2020-10-09,35-284,LAL,MIA,L (-3),41:51,40
2020-10-11,35-286,LAL,MIA,W (+13),41:13,28
